"","boot","cols","Accuracy","acc_teste","mean_acc_test"
"159",40,3,1,0.495,0.4625
"160",40,4,1,0.435,0.4625
"161",41,1,1,0.485,0.5125
"162",41,2,1,0.535,0.5125
"163",41,3,1,0.49,0.5125
"164",41,4,1,0.55,0.5125
"165",42,1,1,0.535,0.5425
"166",42,2,1,0.57,0.5425
"167",42,3,1,0.55,0.5425
"168",42,4,1,0.49,0.5425
"169",43,1,1,0.535,0.5025
"170",43,2,1,0.505,0.5025
"171",43,3,1,0.455,0.5025
"172",43,4,1,0.5,0.5025
"173",44,1,1,0.48,0.485
"174",44,2,1,0.44,0.485
"175",44,3,1,0.515,0.485
"176",44,4,1,0.49,0.485
"177",45,1,1,0.515,0.5075
"178",45,2,1,0.445,0.5075
"179",45,3,1,0.52,0.5075
"180",45,4,1,0.5,0.5075
"181",46,1,1,0.555,0.5325
"182",46,2,1,0.51,0.5325
"183",46,3,1,0.585,0.5325
"184",46,4,1,0.485,0.5325
"185",47,1,1,0.55,0.5325
"186",47,2,1,0.51,0.5325
"187",47,3,1,0.59,0.5325
"188",47,4,1,0.515,0.5325
"189",48,1,1,0.555,0.495
"190",48,2,1,0.555,0.495
"191",48,3,1,0.43,0.495
"192",48,4,1,0.435,0.495
"193",49,1,1,0.6,0.51
"194",49,2,1,0.49,0.51
"195",49,3,1,0.53,0.51
"196",49,4,1,0.475,0.51
"197",50,1,1,0.53,0.5175
"198",50,2,1,0.52,0.5175
"199",50,3,1,0.515,0.5175
"200",50,4,1,0.43,0.5175
"201",51,1,1,0.495,0.4575
"202",51,2,1,0.44,0.4575
"203",51,3,1,0.475,0.4575
"204",51,4,1,0.41,0.4575
"205",52,1,1,0.52,0.4975
"206",52,2,1,0.475,0.4975
"207",52,3,1,0.53,0.4975
"208",52,4,1,0.425,0.4975
"209",53,1,1,0.505,0.5025
"210",53,2,1,0.5,0.5025
"211",53,3,1,0.535,0.5025
"212",53,4,1,0.46,0.5025
"213",54,1,1,0.545,0.5025
"214",54,2,1,0.475,0.5025
"215",54,3,1,0.5,0.5025
"216",54,4,1,0.505,0.5025
"217",55,1,1,0.525,0.545
"218",55,2,1,0.53,0.545
"219",55,3,1,0.575,0.545
"220",55,4,1,0.56,0.545
"221",56,1,1,0.495,0.4725
"222",56,2,1,0.395,0.4725
"223",56,3,1,0.515,0.4725
"224",56,4,1,0.45,0.4725
"225",57,1,1,0.525,0.5175
"226",57,2,1,0.51,0.5175
"227",57,3,1,0.56,0.5175
"228",57,4,1,0.475,0.5175
"229",58,1,1,0.56,0.53
"230",58,2,1,0.515,0.53
"231",58,3,1,0.545,0.53
"232",58,4,1,0.41,0.53
"233",59,1,1,0.535,0.51
"234",59,2,1,0.5,0.51
"235",59,3,1,0.47,0.51
"236",59,4,1,0.52,0.51
"237",60,1,1,0.51,0.525
"238",60,2,1,0.475,0.525
"239",60,3,1,0.55,0.525
"240",60,4,1,0.54,0.525
"241",61,1,1,0.53,0.5275
"242",61,2,1,0.525,0.5275
"243",61,3,1,0.525,0.5275
"244",61,4,1,0.55,0.5275
"245",62,1,1,0.47,0.475
"246",62,2,1,0.485,0.475
"247",62,3,1,0.48,0.475
"248",62,4,1,0.46,0.475
"249",63,1,1,0.455,0.455
"250",63,2,1,0.48,0.455
"251",63,3,1,0.445,0.455
"252",63,4,1,0.455,0.455
"253",64,1,1,0.545,0.515
"254",64,2,1,0.47,0.515
"255",64,3,1,0.515,0.515
"256",64,4,1,0.515,0.515
